IM/mA,V1/mV,V2/mV,V3/mV,V4/mV,VH/mV,B1/mT,B2/mT,B3/mT,B4/mT,B/mT
50.0,13.99,-12.99,12.99,-13.99,13.49,50.5,49.3,-49.2,-50.1,49.775
100.0,27.48,-26.48,26.48,-27.48,26.98,100.5,99.2,-99.3,-100.0,99.75
150.0,40.98,-39.98,39.98,-40.98,40.48,150.5,149.1,-149.0,-149.7,149.575
200.0,54.47,-53.47,53.47,-54.47,53.97,200.5,198.7,-198.6,-199.4,199.29999999999998
250.0,67.96,-66.96,66.96,-67.96,67.46,248.9,248.2,-248.1,-248.8,248.5
300.0,81.45,-80.45,80.45,-81.45,80.95,297.3,297.6,-297.5,-298.2,297.65000000000003
350.0,94.94,-93.94,93.94,-94.94,94.44,347.5,346.8,-346.7,-347.4,347.1
400.0,108.43,-107.43,107.43,-108.43,107.93,396.5,395.8,-395.7,-396.4,396.1
450.0,121.93,-120.93,120.93,-121.93,121.43,445.3,444.6,-444.5,-445.2,444.90000000000003
500.0,135.42,-134.42,134.42,-135.42,134.92,493.8,493.1,-493.0,-493.7,493.40000000000003
